team,year,player_name,dob,batting_style,bowling_style,first_class_team
Pakistan,2003,Abdul Razzaq,2 December 1979,Right-handed,Right-arm fast-medium,PIA
Pakistan,2003,Azhar Mahmood,28 February 1975,Right-handed,Right-arm fast-medium,PIA
Pakistan,2003,Inzamam-ul-Haq,3 March 1970,Right-handed,Slow left-arm orthodox,National Bank
Pakistan,2003,Mohammad Sami,24 February 1981,Right-handed,Right-arm fast,National Bank
Pakistan,2003,Rashid Latif (wk),14 October 1968,Right-handed,Right-arm leg break,Allied Bank
Pakistan,2003,Saeed Anwar,6 September 1968,Left-handed,Slow left-arm orthodox,National Bank
Pakistan,2003,Saleem Elahi,21 November 1976,Right-handed,Right-arm off break,Habib Bank
Pakistan,2003,Saqlain Mushtaq,29 December 1976,Right-handed,Right-arm off break,PIA
Pakistan,2003,Shahid Afridi,1 March 1980,Right-handed,Right-arm leg break,Habib Bank
Pakistan,2003,Shoaib Akhtar,13 August 1975,Right-handed,Right-arm fast,Khan Research Labs
Pakistan,2003,Taufeeq Umar,20 June 1981,Left-handed,Right-arm off break,Habib Bank
Pakistan,2003,Waqar Younis (c),16 November 1971,Right-handed,Right-arm fast,National Bank
Pakistan,2003,Wasim Akram,3 June 1966,Left-handed,Left-arm fast,PIA
Pakistan,2003,Younis Khan,29 November 1977,Right-handed,Right-arm leg break,Habib Bank
Pakistan,2003,Yousuf Youhana,27 August 1974,Right-handed,Right-arm off break,PIA
South Africa,2003,Allan Donald,20 October 1966,Right-handed,Right-arm fast,Free State
South Africa,2003,Andrew Hall,31 July 1975,Right-handed,Right-arm fast-medium,Northerns
South Africa,2003,Boeta Dippenaar,14 June 1977,Right-handed,Right-arm off break,Free State
South Africa,2003,Charl Langeveldt,17 December 1974,Right-handed,Right-arm fast-medium,Boland
South Africa,2003,Gary Kirsten,23 November 1967,Left-handed,Right-arm off break,Western Province
South Africa,2003,Graeme Smith,1 February 1981,Left-handed,Right-arm off break,Western Province
South Africa,2003,Herschelle Gibbs,23 February 1974,Right-handed,Right-arm medium,Western Province
South Africa,2003,Jacques Kallis,16 October 1975,Right-handed,Right-arm fast-medium,Western Province
South Africa,2003,Jonty Rhodes,27 July 1969,Right-handed,Right-arm medium,KwaZulu-Natal
South Africa,2003,Lance Klusener,4 September 1971,Left-handed,Right-arm fast-medium,KwaZulu-Natal
South Africa,2003,Makhaya Ntini,6 July 1977,Right-handed,Right-arm fast,Border
South Africa,2003,Mark Boucher (wk),6 December 1976,Right-handed,Right-arm medium,Border
South Africa,2003,Monde Zondeki,25 July 1982,Right-handed,Right-arm fast,Border
South Africa,2003,Nicky Boje,20 March 1973,Left-handed,Slow left-arm orthodox,Free State
South Africa,2003,Robin Peterson,4 August 1979,Left-handed,Slow left-arm orthodox,Eastern Province
South Africa,2003,Shaun Pollock (c),16 July 1973,Right-handed,Right-arm fast-medium,KwaZulu-Natal
Sri Lanka,2003,Aravinda de Silva,17 October 1965,Right-handed,Right-arm off break,Nondescripts
Sri Lanka,2003,Avishka Gunawardene,26 May 1977,Left-handed,,Sinhalese SC
Sri Lanka,2003,Chaminda Vaas,27 January 1974,Left-handed,Left-arm fast-medium,Colts
Sri Lanka,2003,Charitha Buddhika,22 August 1980,Right-handed,Right-arm medium-fast,Panadura
Sri Lanka,2003,Dilhara Fernando,19 July 1979,Right-handed,Right-arm fast,Sinhalese SC
Sri Lanka,2003,Hashan Tillakaratne,14 July 1967,Left-handed,Right-arm off break,Nondescripts
Sri Lanka,2003,Jehan Mubarak,10 January 1981,Left-handed,Right-arm off break,Colombo
Sri Lanka,2003,Kumar Sangakkara (wk),27 October 1977,Left-handed,Right-arm off break,Nondescripts
Sri Lanka,2003,Mahela Jayawardene,27 May 1977,Right-handed,Right-arm medium,Sinhalese SC
Sri Lanka,2003,Marvan Atapattu,22 November 1970,Right-handed,Right-arm leg break,Sinhalese SC
Sri Lanka,2003,Muttiah Muralitharan,17 April 1972,Right-handed,Right-arm off break,Tamil Union
Sri Lanka,2003,Prabath Nissanka,25 October 1980,Right-handed,Right-arm medium-fast,Bloomfield
Sri Lanka,2003,Pulasthi Gunaratne,27 September 1973,Right-handed,Right-arm fast-medium,Tamil Union
Sri Lanka,2003,Russel Arnold,25 October 1973,Left-handed,Right-arm off break,Nondescripts
Sri Lanka,2003,Sanath Jayasuriya (c),30 June 1969,Left-handed,Slow left-arm orthodox,Bloomfield
West Indies,2003,Brian Lara,2 May 1969,Left-handed,Right-arm leg break,Trinidad and Tobago
West Indies,2003,Carl Hooper (c),15 December 1966,Right-handed,Right-arm off break,Guyana
West Indies,2003,Chris Gayle,21 September 1979,Left-handed,Right-arm off break,Jamaica
West Indies,2003,Corey Collymore,21 December 1977,Right-handed,Right-arm fast-medium,Barbados
West Indies,2003,Jermaine Lawson,13 January 1982,Right-handed,Right-arm fast-medium,Jamaica
West Indies,2003,Marlon Samuels,5 January 1981,Right-handed,Right-arm off break,Jamaica
West Indies,2003,Mervyn Dillon,5 June 1974,Right-handed,Right-arm fast-medium,Trinidad and Tobago
West Indies,2003,Nixon McLean,20 July 1973,Left-handed,Right-arm fast-medium,Windward Islands
West Indies,2003,Pedro Collins,12 August 1976,Right-handed,Left-arm fast-medium,Barbados
West Indies,2003,Ramnaresh Sarwan,23 June 1980,Right-handed,Right-arm leg break,Guyana
West Indies,2003,Ricardo Powell,16 December 1978,Right-handed,Right-arm off break,Jamaica
West Indies,2003,Ridley Jacobs (wk),26 November 1967,Left-handed,Wicket-keeper,Leeward Islands
West Indies,2003,Shivnarine Chanderpaul,16 August 1974,Left-handed,Right-arm leg break,Guyana
West Indies,2003,Vasbert Drakes,5 August 1969,Right-handed,Right-arm medium-fast,Barbados
West Indies,2003,Wavell Hinds,7 September 1976,Left-handed,Right-arm medium,Jamaica
Zimbabwe,2003,Alistair Campbell,23 September 1972,Left-handed,Right-arm off break,Manicaland
Zimbabwe,2003,Andy Blignaut,1 August 1978,Left-handed,Right-arm fast-medium,Mashonaland
Zimbabwe,2003,Andy Flower (wk),28 April 1968,Left-handed,Right-arm off break,Mashonaland
Zimbabwe,2003,Brian Murphy,1 December 1976,Right-handed,Right-arm leg break,Mashonaland
Zimbabwe,2003,Craig Wishart,9 January 1974,Right-handed,Right-arm off break,Midlands
Zimbabwe,2003,Dion Ebrahim,7 August 1980,Right-handed,Right-arm medium,Mashonaland
Zimbabwe,2003,Dougie Marillier,24 April 1978,Right-handed,Right-arm off break,Midlands
Zimbabwe,2003,Douglas Hondo,7 July 1979,Right-handed,Right-arm fast-medium,Mashonaland
Zimbabwe,2003,Grant Flower,20 December 1970,Right-handed,Slow left-arm orthodox,Mashonaland
Zimbabwe,2003,Guy Whittall,5 September 1972,Right-handed,Right-arm medium,Manicaland
Zimbabwe,2003,Heath Streak (c),16 March 1974,Right-handed,Right-arm fast-medium,Matabeleland
Zimbabwe,2003,Henry Olonga,3 July 1976,Right-handed,Right-arm fast,Manicaland
Zimbabwe,2003,Mark Vermeulen,2 March 1979,Right-handed,Right-arm off break,Matabeleland
Zimbabwe,2003,Sean Ervine,6 December 1982,Left-handed,Right-arm medium,Midlands
Zimbabwe,2003,Stuart Matsikenyeri,3 May 1983,Right-handed,Right-arm off break,Manicaland
Zimbabwe,2003,Tatenda Taibu (wk),14 May 1983,Right-handed,Right-arm off break,Mashonaland
Zimbabwe,2003,Travis Friend,7 January 1981,Right-handed,Right-arm fast-medium,Midlands
Australia,2007,Adam Gilchrist,14 November 1971,Left-handed,Wicket-keeper,Western Warriors
Australia,2007,Andrew Symonds,9 June 1975,Right-handed,Right-arm medium/off break,Queensland Bulls
Australia,2007,Brad Haddin,23 October 1977,Right-handed,Wicket-keeper,New South Wales Blues
Australia,2007,Brad Hodge,29 December 1974,Right-handed,Right-arm off break,Victorian Bushrangers
Australia,2007,Brad Hogg,6 February 1971,Left-handed,Slow left-arm wrist-spin,Western Warriors
Australia,2007,Glenn McGrath,9 February 1970,Right-handed,Right-arm fast-medium,New South Wales Blues
Australia,2007,Matthew Hayden,29 October 1971,Left-handed,Right-arm medium,Queensland Bulls
Australia,2007,Michael Clarke,2 April 1981,Right-handed,Slow left-arm orthodox,New South Wales Blues
Australia,2007,Michael Hussey,27 May 1975,Left-handed,Right-arm medium,Western Warriors
Australia,2007,Mitchell Johnson,2 November 1981,Left-handed,Left-arm fast,Queensland Bulls
Australia,2007,Nathan Bracken,12 September 1977,Right-handed,Left-arm fast-medium,New South Wales Blues
Australia,2007,Ricky Ponting (c),19 December 1974,Right-handed,Right-arm medium,Tasmanian Tigers
Australia,2007,Shane Watson,17 June 1981,Right-handed,Right-arm fast-medium,Queensland Bulls
Australia,2007,Shaun Tait,22 February 1983,Right-handed,Right-arm fast,Southern Redbacks
Australia,2007,Stuart Clark,28 September 1975,Right-handed,Right-arm fast-medium,New South Wales Blues
Bangladesh,2007,Abdur Razzak,15 June 1982,Right-handed,Slow left-arm orthodox,Khulna
Bangladesh,2007,Aftab Ahmed,10 November 1985,Right-handed,Right-arm medium,Chittagong
Bangladesh,2007,Farhad Reza,16 June 1986,Right-handed,Right-arm fast-medium,Rajshahi
Bangladesh,2007,Habibul Bashar (c),17 August 1972,Right-handed,Right-arm off break,Khulna
Bangladesh,2007,Javed Omar,25 November 1976,Right-handed,Right-arm leg break,Dhaka
Bangladesh,2007,Mashrafe Mortaza,5 October 1983,Right-handed,Right-arm fast-medium,Khulna
Bangladesh,2007,Mohammad Ashraful,9 September 1984,Right-handed,Right-arm leg break,Dhaka
Bangladesh,2007,Mohammad Rafique,5 September 1970,Left-handed,Slow left-arm orthodox,Dhaka
Bangladesh,2007,Mushfiqur Rahim,1 September 1988,Right-handed,Wicket-keeper,Rajshahi
Bangladesh,2007,Rajin Saleh,20 November 1983,Right-handed,Right-arm off break,Sylhet
Bangladesh,2007,Shahadat Hossain,7 August 1986,Right-handed,Right-arm fast-medium,Dhaka
Bangladesh,2007,Shahriar Nafees,25 January 1986,Left-handed,,Barisal
Bangladesh,2007,Shakib Al Hasan,24 March 1987,Left-handed,Slow left-arm orthodox,Khulna
Bangladesh,2007,Syed Rasel,3 July 1984,Left-handed,Left-arm medium-fast,Khulna
Bangladesh,2007,Tamim Iqbal,20 March 1989,Left-handed,Right-arm off spin,Chittagong
Bangladesh,2007,Tapash Baisya,25 December 1982,Right-handed,Right-arm fast-medium,Sylhet
Bermuda,2007,Clay Smith,15 January 1971,Right-handed,Right-arm off break,Cleveland County
Bermuda,2007,David Hemp,8 November 1970,Left-handed,Right-arm medium,Glamorgan Dragons
Bermuda,2007,Dean Minors,6 January 1970,Left-handed,Wicket-keeper,Flatts Victoria
Bermuda,2007,Delyone Borden,4 March 1985,Right-handed,Right-arm off break,St. David's
Bermuda,2007,Dwayne Leverock,14 July 1971,Right-handed,Slow left-arm orthodox,Southampton Rangers
Bermuda,2007,Irving Romaine (c),8 August 1972,Right-handed,Right-arm off break,Baileys Bay
Bermuda,2007,Janeiro Tucker,15 March 1975,Right-handed,Right-arm medium,Southampton Rangers
Bermuda,2007,Kevin Hurdle,30 December 1976,Right-handed,Right-arm fast,Young Men's Social Club
Bermuda,2007,Kwame Tucker,28 September 1976,Right-handed,Wicket-keeper,Southampton Rangers
Bermuda,2007,Lionel Cann,3 October 1972,Right-handed,Right-arm medium,Southampton Rangers
Bermuda,2007,Malachi Jones,26 June 1989,Right-handed,Right-arm medium-fast,Southampton Rangers
Bermuda,2007,Oliver Pitcher,27 May 1983,Right-handed,Right-arm medium,St. David's
Bermuda,2007,Saleem Mukuddem,20 January 1972,Right-handed,Right-arm medium,Western Stars
Bermuda,2007,Stefan Kelly,24 August 1988,Right-handed,Right-arm fast-medium,St. David's
Bermuda,2007,Steven Outerbridge,20 May 1983,Right-handed,Right-arm off break,Baileys Bay
Canada,2007,Abdool Samad,3 May 1979,Right-handed,Right-arm off break,Cavaliers
Canada,2007,Anderson Cummins,7 May 1966,Right-handed,Right-arm fast-medium,Cavaliers
Canada,2007,Ashish Bagai,26 January 1982,Right-handed,Wicket-keeper,Toronto
Canada,2007,Asif Mulla,5 May 1980,Right-handed,Wicket-keeper,Yorkshire
Canada,2007,Austin Codrington,22 August 1975,Right-handed,Right-arm fast-medium,Victoria Park
Canada,2007,Desmond Chumney,8 January 1968,Right-handed,Right-arm off break,Victoria Park
Canada,2007,Geoff Barnett,3 February 1984,Left-handed,Right-arm medium,Central Districts Stags Meraloma
Canada,2007,George Codrington,26 November 1966,Right-handed,Right-arm fast-medium,Victoria Park
Canada,2007,Henry Osinde,17 October 1978,Right-handed,Right-arm fast-medium,WICC
Canada,2007,Ian Billcliff,26 October 1972,Right-handed,Right-arm medium,University/Ellerslie
Canada,2007,John Davison (c),9 May 1970,Right-handed,Right-arm off break,Mosman
Canada,2007,Kevin Sandher,16 July 1980,Right-handed,Slow left-arm orthodox,Meraloma
Canada,2007,Qaiser Ali,20 December 1978,Right-handed,Right-arm off break,Adastrians
Canada,2007,Sunil Dhaniram,17 October 1968,Left-handed,Slow left-arm orthodox,Cavaliers
Canada,2007,Umar Bhatti,4 January 1984,Left-handed,Left-arm medium,Victoria Park
England,2007,Andrew Flintoff,6 December 1977,Right-handed,Right-arm fast,Lancashire Lightning
England,2007,Andrew Strauss,2 March 1977,Left-handed,Left-arm medium,Middlesex Crusaders
England,2007,Ed Joyce,22 September 1978,Left-handed,Right-arm medium,Middlesex Crusaders
England,2007,Ian Bell,11 April 1982,Right-handed,Right-arm medium,Warwickshire Bears
England,2007,James Anderson,30 July 1982,Left-handed,Right-arm fast-medium,Lancashire Lightning
England,2007,Jamie Dalrymple,21 January 1981,Right-handed,Right-arm off break,Middlesex Crusaders
England,2007,Jon Lewis,26 August 1975,Right-handed,Right-arm medium-fast,Gloucestershire Gladiators
England,2007,Kevin Pietersen,27 June 1980,Right-handed,Right-arm off break,Hampshire Hawks
England,2007,Liam Plunkett,6 April 1985,Right-handed,Right-arm fast-medium,Durham Dynamos
England,2007,Michael Vaughan (c),29 October 1974,Right-handed,Right-arm off break,Yorkshire Phoenix
England,2007,Monty Panesar,25 April 1982,Left-handed,Slow left-arm orthodox,Northamptonshire Steelbacks
England,2007,Paul Collingwood,26 May 1976,Right-handed,Right-arm medium-fast,Durham Dynamos
England,2007,Paul Nixon,21 October 1970,Left-handed,Wicket-keeper,Leicestershire Foxes
England,2007,Ravi Bopara,4 May 1985,Right-handed,Right-arm medium,Essex Eagles
England,2007,Sajid Mahmood,21 December 1981,Right-handed,Right-arm fast-medium,Lancashire Lightning
England,2007,Stuart Broad,24 June 1986,Left-handed,Right-arm fast-medium,Leicestershire Foxes
India,2007,Ajit Agarkar,4 December 1977,Right-handed,Right-arm fast,Mumbai
India,2007,Anil Kumble,17 October 1970,Right-handed,Right-arm leg break,Karnataka
India,2007,Dinesh Karthik (wk),1 June 1985,Right-handed,Wicket-keeper,Tamil Nadu
India,2007,Harbhajan Singh,3 July 1980,Right-handed,Right-arm off break,Punjab
India,2007,Irfan Pathan,27 October 1984,Left-handed,Left-arm fast-medium,Baroda
India,2007,M.S. Dhoni (wk),7 July 1981,Right-handed,Wicket-keeper,Jharkhand
India,2007,Munaf Patel,12 July 1983,Right-handed,Right-arm fast-medium,Maharashtra
India,2007,Rahul Dravid (c),11 January 1973,Right-handed,Right-arm off break,Karnataka
India,2007,Robin Uthappa,11 November 1985,Right-handed,Right-arm medium,Karnataka
India,2007,S. Sreesanth,6 February 1983,Right-handed,Right-arm fast-medium,Kerala
India,2007,Sachin Tendulkar,24 April 1973,Right-handed,Right-arm leg break,Mumbai
India,2007,Sourav Ganguly,8 July 1972,Left-handed,Right-arm medium,Bengal
India,2007,Virender Sehwag,20 October 1978,Right-handed,Right-arm off break,Delhi
India,2007,Yuvraj Singh (vc),12 December 1981,Left-handed,Slow left-arm orthodox,Punjab
India,2007,Zaheer Khan,7 October 1978,Right-handed,Left-arm fast-medium,Mumbai
Ireland,2007,Andre Botha,12 September 1975,Left-handed,Right-arm medium,North County
Ireland,2007,Andrew White,3 July 1980,Right-handed,Right-arm off break,Northamptonshire Steelbacks
Ireland,2007,Boyd Rankin,5 July 1984,Right-handed,Right-arm fast-medium,Derbyshire Phantoms
Ireland,2007,Dave Langford-Smith,7 December 1976,Right-handed,Right-arm fast-medium,Phoenix
Ireland,2007,Eoin Morgan,10 September 1986,Left-handed,Right-arm fast-medium,Middlesex Crusaders
Ireland,2007,Jeremy Bray,30 November 1973,Left-handed,,Eglinton
Ireland,2007,John Mooney,10 February 1982,Left-handed,Right-arm medium,North County
Ireland,2007,Kenny Carroll,22 March 1983,Right-handed,Right-arm legbreak,Railway Union
Ireland,2007,Kevin O'Brien,4 March 1984,Right-handed,Right-arm medium-fast,Railway Union
Ireland,2007,Kyle McCallan,27 August 1975,Right-handed,Right-arm off break,Waringstown
Ireland,2007,Niall O'Brien,8 November 1981,Right-handed,Wicket-keeper,Northamptonshire Steelbacks
Ireland,2007,Paul Mooney,15 October 1976,Right-handed,Right-arm medium,North County
Ireland,2007,Peter Gillespie,11 May 1974,Right-handed,Right-arm medium,Strabane
Ireland,2007,Trent Johnston (c),29 April 1974,Right-handed,Right-arm fast-medium,Clontarf
Ireland,2007,William Porterfield,6 September 1984,Left-handed,Off spin,"Rush, County Dublin"
Kenya,2007,Collins Obuya,27 July 1981,Right-handed,Right-arm leg break,Stray Lions
Kenya,2007,David Obuya,14 August 1979,Right-handed,Wicket-keeper,Stray Lions
Kenya,2007,Hiren Varaiya,9 April 1984,Right-handed,Slow left-arm orthodox,Nairobi Gymkhana
Kenya,2007,Jimmy Kamande,12 December 1978,Right-handed,Right-arm off break,Parklands
Kenya,2007,Lameck Onyango,22 September 1973,Right-handed,Right-arm medium,Swamibapa
Kenya,2007,Malhar Patel,27 November 1983,Right-handed,Right-arm medium,Kanbis
Kenya,2007,Morris Ouma,8 November 1982,Right-handed,Wicket-keeper,Swamibapa
Kenya,2007,Nehemiah Odhiambo,7 August 1983,Right-handed,Right-arm medium-fast,Swamibapa
Kenya,2007,Peter Ongondo,10 February 1977,Right-handed,Right-arm medium,Swamibapa
Kenya,2007,Rajesh Bhudia,22 November 1984,Right-handed,Right-arm medium,Kanbis
Kenya,2007,Ravindu Shah,28 August 1972,Right-handed,Right-arm medium,Nairobi Gymkhana
Kenya,2007,Steve Tikolo (c),25 June 1971,Right-handed,Right-arm medium,Swamibapa
Kenya,2007,Tanmay Mishra,22 December 1986,Right-handed,Right-arm fast-medium,Aga Khan
Kenya,2007,Thomas Odoyo,12 May 1978,Right-handed,Right-arm medium-fast,Kanbis
Kenya,2007,Tony Suji,5 February 1976,Right-handed,Right-arm medium,Swamibapa
Netherlands,2007,Adeel Raja,15 August 1980,Right-handed,Right-arm off break,VRA Amsterdam
Netherlands,2007,Alexei Kervezee,11 September 1989,Right-handed,Right-arm medium,Worcestershire Royals
Netherlands,2007,Bastiaan Zuiderent,3 March 1977,Right-handed,Right-arm medium,VOC Rotterdam
Netherlands,2007,Billy Stelling,30 June 1969,Right-handed,Right-arm fast-medium,HBS Craeyenhout
Netherlands,2007,Daan van Bunge,19 October 1982,Right-handed,Right-arm leg break,Excelsior'20
Netherlands,2007,Darron Reekers,26 May 1973,Right-handed,Right-arm medium,Quick Den Haag
Netherlands,2007,Edgar Schiferli,17 May 1976,Right-handed,Right-arm medium-fast,Quick Den Haag
Netherlands,2007,Eric Szwarczynski,13 February 1983,Right-handed,Right-arm medium,VRA Amsterdam
Netherlands,2007,Jeroen Smits,21 June 1972,Right-handed,Wicket-keeper,HCC Den Haag
Netherlands,2007,Luuk van Troost (c),28 December 1969,Left-handed,Left-arm medium,Excelsior'20
Netherlands,2007,Mark Jonkman,20 March 1986,Right-handed,Right-arm medium-fast,HCC Den Haag
Netherlands,2007,Mohammad Kashif,3 December 1984,Right-handed,Slow left-arm orthodox,VOC Rotterdam
Netherlands,2007,Peter Borren,21 August 1983,Right-handed,Right-arm medium,VRA Amsterdam
Netherlands,2007,Ryan ten Doeschate,30 June 1980,Right-handed,Right-arm medium-fast,Essex Eagles
Netherlands,2007,Tim de Leede,25 January 1968,Right-handed,Right-arm medium,Voorburg CC
New Zealand,2007,Brendon McCullum,27 September 1981,Right-handed,Wicket-keeper,Canterbury Wizards
New Zealand,2007,Chris Martin,10 December 1979,Right-handed,Right-arm fast-medium,Auckland Aces
New Zealand,2007,Craig McMillan,13 September 1976,Right-handed,Right-arm medium,Canterbury Wizards
New Zealand,2007,Daniel Vettori,27 January 1979,Left-handed,Slow left-arm orthodox,Northern Districts Knights
New Zealand,2007,Daryl Tuffey,11 June 1978,Right-handed,Right-arm fast-medium,Northern Districts Knights
New Zealand,2007,Hamish Marshall,15 February 1979,Right-handed,Right-arm medium,Northern Districts Knights
New Zealand,2007,Jacob Oram,28 July 1978,Left-handed,Right-arm medium,Central Districts Stags
New Zealand,2007,James Franklin,7 November 1980,Left-handed,Left-arm fast-medium,Wellington Firebirds
New Zealand,2007,Jeetan Patel,7 May 1980,Right-handed,Right-arm off break,Wellington Firebirds
New Zealand,2007,Lou Vincent,11 November 1978,Right-handed,Right-arm medium,Auckland Aces
New Zealand,2007,Mark Gillespie,17 October 1979,Right-handed,Right-arm fast-medium,Wellington Firebirds
New Zealand,2007,Michael Mason,27 August 1974,Right-handed,Right-arm fast-medium,Central Districts Stags
New Zealand,2007,Peter Fulton,1 February 1979,Right-handed,Right-arm medium,Canterbury Wizards
New Zealand,2007,Ross Taylor,8 March 1984,Right-handed,Right-arm off break,Central Districts Stags
New Zealand,2007,Scott Styris,10 July 1975,Right-handed,Right-arm fast-medium,Auckland Aces
New Zealand,2007,Shane Bond,7 June 1975,Right-handed,Right-arm fast,Canterbury Wizards
New Zealand,2007,Stephen Fleming (c),1 April 1973,Left-handed,Right-arm medium,Wellington Firebirds
Pakistan,2007,Azhar Mahmood,28 February 1975,Right-handed,Right-arm fast-medium,HBL/Islamabad Surrey Lions
Pakistan,2007,Danish Kaneria,16 December 1980,Right-handed,Right-arm leg break,HBL/Karachi Harbour
Pakistan,2007,Iftikhar Anjum,1 December 1980,Right-handed,Right-arm medium,ZTBL/Islamabad
Pakistan,2007,Imran Nazir,31 December 1981,Right-handed,Right-arm leg break,NBP/Sialkot
Pakistan,2007,Inzamam-ul-Haq (c),3 March 1970,Right-handed,Slow left-arm orthodox,WAPDA/Multan
Pakistan,2007,Kamran Akmal,13 January 1982,Right-handed,Wicket-keeper,NBP/Lahore Ravi
Pakistan,2007,Mohammad Hafeez,17 October 1980,Right-handed,Right-arm off break,SNGPL/Faisalabad
Pakistan,2007,Mohammad Sami,24 February 1981,Right-handed,Right-arm fast,NBP/Karachi
Pakistan,2007,Mohammad Yousuf,27 August 1974,Right-handed,Right-arm slow,WAPDA/Lahore Ravi
Pakistan,2007,Rana Naved-ul-Hasan,28 February 1978,Right-handed,Right-arm medium-fast,WAPDA/Sialkot Sussex Sharks
Pakistan,2007,Shahid Afridi (vc),1 March 1980,Right-handed,Right-arm leg break,HBL/Karachi Harbour
Pakistan,2007,Shoaib Malik,1 February 1982,Right-handed,Right-arm off break,PIA/Sialkot
Pakistan,2007,Umar Gul,14 April 1984,Right-handed,Right-arm fast-medium,HBL/Peshawar
Pakistan,2007,Yasir Arafat,12 March 1982,Right-handed,Right-arm medium,KRL/Rawalpindi Sussex Sharks
Pakistan,2007,Younis Khan,29 November 1977,Right-handed,Right-arm leg break,HBL/Peshawar
Scotland,2007,Colin Smith,27 September 1972,Right-handed,Wicket-keeper,Aberdeenshire
Scotland,2007,Craig Wright (c),28 April 1974,Right-handed,Right-arm medium,Greenock
Scotland,2007,Dewald Nel,6 June 1980,Right-handed,Right-arm medium-fast,Greenock
Scotland,2007,Dougie Brown,29 October 1969,Right-handed,Right-arm fast-medium,Warwickshire Bears
Scotland,2007,Dougie Lockhart,19 January 1976,Right-handed,Right-arm medium,West of Scotland
Scotland,2007,Fraser Watts,5 June 1979,Right-handed,,Greenock
Scotland,2007,Gavin Hamilton,16 September 1974,Left-handed,Right-arm medium-fast,Scottish Saltires
Scotland,2007,Glenn Rogers,12 April 1977,Right-handed,Slow left-arm orthodox,Stenhousemuir
Scotland,2007,John Blain,4 January 1979,Left-handed,Right-arm fast-medium,Yorkshire Phoenix
Scotland,2007,Majid Haq,11 February 1983,Left-handed,Right-arm off break,Ferguslie
Scotland,2007,Navdeep Poonia,11 May 1986,Right-handed,Right-arm medium-fast,Warwickshire Bears
Scotland,2007,Neil McCallum,22 November 1977,Right-handed,,Grange
Scotland,2007,Paul Hoffmann,14 January 1970,Right-handed,Right-arm medium-fast,Uddingston
Scotland,2007,Ross Lyons,8 December 1984,Left-handed,Slow left-arm orthodox,Clydesdale
Scotland,2007,Ryan Watson,12 November 1976,Right-handed,Right-arm medium-fast,Forfarshire
South Africa,2007,AB de Villiers,17 February 1984,Right-handed,Right-arm medium Wicket-keeper,Titans
South Africa,2007,Andrew Hall,31 July 1975,Right-handed,Right-arm fast-medium,Dolphins Kent Spitfires
South Africa,2007,André Nel,15 July 1977,Right-handed,Right-arm fast-medium,Titans
South Africa,2007,Ashwell Prince,28 May 1977,Left-handed,Left-arm slow,Cape Cobras
South Africa,2007,Charl Langeveldt,17 December 1974,Right-handed,Right-arm fast-medium,Lions
South Africa,2007,Graeme Smith (c),1 February 1981,Left-handed,Right-arm off break,Cape Cobras
South Africa,2007,Herschelle Gibbs,23 February 1974,Right-handed,Right-arm medium,Cape Cobras
South Africa,2007,Jacques Kallis,16 October 1975,Right-handed,Right-arm fast-medium,Cape Cobras
South Africa,2007,Justin Kemp,2 October 1977,Right-handed,Right-arm fast-medium,Titans Kent Spitfires
South Africa,2007,Loots Bosman,14 April 1977,Right-handed,Right-arm medium,Eagles
South Africa,2007,Makhaya Ntini,6 July 1977,Right-handed,Right-arm fast,Warriors
South Africa,2007,Mark Boucher,3 December 1976,Right-handed,Wicket-keeper,Warriors
South Africa,2007,Robin Peterson,4 August 1979,Left-handed,Slow left-arm orthodox,Warriors
South Africa,2007,Roger Telemachus,27 March 1973,Right-handed,Right-arm fast-medium,Eagles
South Africa,2007,Shaun Pollock,16 July 1973,Right-handed,Right-arm fast-medium,Dolphins
Sri Lanka,2007,Chamara Silva,14 December 1979,Right-handed,Right-arm leg break,Sebastianites C&AC
Sri Lanka,2007,Chaminda Vaas,27 January 1974,Left-handed,Left-arm fast-medium,Colts CC
Sri Lanka,2007,Dilhara Fernando,19 July 1979,Right-handed,Right-arm fast-medium,Sinhalese SC
Sri Lanka,2007,Farveez Maharoof,7 September 1984,Right-handed,Right-arm fast-medium,Bloomfield C&AC
Sri Lanka,2007,Kumar Sangakkara,27 October 1977,Left-handed,Wicket-keeper,Nondescripts CC
Sri Lanka,2007,Lasith Malinga,4 September 1983,Right-handed,Right-arm fast,Nondescripts CC
Sri Lanka,2007,Mahela Jayawardene (c),27 May 1977,Right-handed,Right-arm medium,Sinhalese SC
Sri Lanka,2007,Malinga Bandara,31 December 1979,Right-handed,Right-arm leg break,Ragama CC
Sri Lanka,2007,Marvan Atapattu,22 November 1970,Right-handed,Right-arm leg break,Sinhalese SC
Sri Lanka,2007,Muttiah Muralitharan,17 April 1972,Right-handed,Right-arm off break,Tamil Union C&AC
Sri Lanka,2007,Nuwan Kulasekara,22 July 1982,Right-handed,Right-arm fast-medium,Colts CC
Sri Lanka,2007,Russel Arnold,25 October 1973,Left-handed,Right-arm off break,Nondescripts CC
Sri Lanka,2007,Sanath Jayasuriya,30 June 1969,Left-handed,Slow left-arm orthodox,Bloomfield C&AC
Sri Lanka,2007,Tillakaratne Dilshan,14 October 1976,Right-handed,Right-arm off break,Bloomfield C&AC
Sri Lanka,2007,Upul Tharanga,2 February 1985,Left-handed,,Nondescripts CC
