Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,2003,South Africa,Mark Boucher (wk),6 December 1976,Right-handed,Right-arm medium,Border
ODI World Cup,2003,South Africa,Monde Zondeki,25 July 1982,Right-handed,Right-arm fast,Border
ODI World Cup,2003,South Africa,Nicky Boje,20 March 1973,Left-handed,Slow left-arm orthodox,Free State
ODI World Cup,2003,South Africa,Robin Peterson,4 August 1979,Left-handed,Slow left-arm orthodox,Eastern Province
ODI World Cup,2003,South Africa,Shaun Pollock (c),16 July 1973,Right-handed,Right-arm fast medium,KwaZulu-Natal
ODI World Cup,2003,Sri Lanka,Aravinda de Silva,17 October 1965,Right-handed,Right-arm off break,Nondescripts
ODI World Cup,2003,Sri Lanka,Avishka Gunawardene,26 May 1977,Left-handed,-,Sinhalese SC
ODI World Cup,2003,Sri Lanka,Chaminda Vaas,27 January 1974,Left-handed,Left-arm fast medium,Colts
ODI World Cup,2003,Sri Lanka,Charitha Buddhika,22 August 1980,Right-handed,Right-arm medium fast,Panadura
ODI World Cup,2003,Sri Lanka,Dilhara Fernando,19 July 1979,Right-handed,Right-arm fast,Sinhalese SC
ODI World Cup,2003,Sri Lanka,Hashan Tillakaratne,14 July 1967,Left-handed,Right-arm off break,Nondescripts
ODI World Cup,2003,Sri Lanka,Jehan Mubarak,10 January 1981,Left-handed,Right-arm off break,Colombo
ODI World Cup,2003,Sri Lanka,Kumar Sangakkara (wk),27 October 1977,Left-handed,Right-arm off break,Nondescripts
ODI World Cup,2003,Sri Lanka,Mahela Jayawardene,27 May 1977,Right-handed,Right-arm medium,Sinhalese SC
ODI World Cup,2003,Sri Lanka,Marvan Atapattu,22 November 1970,Right-handed,Right-arm leg break,Sinhalese SC
ODI World Cup,2003,Sri Lanka,Muttiah Muralitharan,17 April 1972,Right-handed,Right-arm off break,Tamil Union
ODI World Cup,2003,Sri Lanka,Prabath Nissanka,25 October 1980,Right-handed,Right-arm medium fast,Bloomfield
ODI World Cup,2003,Sri Lanka,Pulasthi Gunaratne,27 September 1973,Right-handed,Right-arm fast medium,Tamil Union
ODI World Cup,2003,Sri Lanka,Russel Arnold,25 October 1973,Left-handed,Right-arm off break,Nondescripts
ODI World Cup,2003,Sri Lanka,Sanath Jayasuriya (c),30 June 1969,Left-handed,Slow left-arm orthodox,Bloomfield
ODI World Cup,2003,West Indies,Brian Lara,2 May 1969,Left-handed,Right-arm leg break,Trinidad and Tobago
ODI World Cup,2003,West Indies,Carl Hooper (c),15 December 1966,Right-handed,Right-arm off break,Guyana
ODI World Cup,2003,West Indies,Chris Gayle,21 September 1979,Left-handed,Right-arm off break,Jamaica
ODI World Cup,2003,West Indies,Corey Collymore,21 December 1977,Right-handed,Right-arm fast medium,Barbados
ODI World Cup,2003,West Indies,Jermaine Lawson,13 January 1982,Right-handed,Right-arm fast medium,Jamaica
ODI World Cup,2003,West Indies,Marlon Samuels,5 January 1981,Right-handed,Right-arm off break,Jamaica
ODI World Cup,2003,West Indies,Mervyn Dillon,5 June 1974,Right-handed,Right-arm fast medium,Trinidad and Tobago
ODI World Cup,2003,West Indies,Nixon McLean,20 July 1973,Left-handed,Right-arm fast medium,Windward Islands
ODI World Cup,2003,West Indies,Pedro Collins,12 August 1976,Right-handed,Left-arm fast medium,Barbados
ODI World Cup,2003,West Indies,Ramnaresh Sarwan,23 June 1980,Right-handed,Right-arm leg break,Guyana
ODI World Cup,2003,West Indies,Ricardo Powell,16 December 1978,Right-handed,Right-arm off break,Jamaica
ODI World Cup,2003,West Indies,Ridley Jacobs (wk),26 November 1967,Left-handed,Wicket-keeper,Leeward Islands
ODI World Cup,2003,West Indies,Shivnarine Chanderpaul,16 August 1974,Left-handed,Right-arm leg break,Guyana
ODI World Cup,2003,West Indies,Vasbert Drakes,5 August 1969,Right-handed,Right-arm medium fast,Barbados
ODI World Cup,2003,West Indies,Wavell Hinds,7 September 1976,Left-handed,Right-arm medium,Jamaica
ODI World Cup,2003,Zimbabwe,Alistair Campbell,23 September 1972,Left-handed,Right-arm off break,Manicaland
ODI World Cup,2003,Zimbabwe,Andy Blignaut,1 August 1978,Left-handed,Right-arm fast medium,Mashonaland
ODI World Cup,2003,Zimbabwe,Andy Flower (wk),28 April 1968,Left-handed,Right-arm off break,Mashonaland
ODI World Cup,2003,Zimbabwe,Brian Murphy,1 December 1976,Right-handed,Right-arm leg break,Mashonaland
ODI World Cup,2003,Zimbabwe,Craig Wishart,9 January 1974,Right-handed,Right-arm off break,Midlands
ODI World Cup,2003,Zimbabwe,Dion Ebrahim,7 August 1980,Right-handed,Right-arm medium,Mashonaland
ODI World Cup,2003,Zimbabwe,Dougie Marillier,24 April 1978,Right-handed,Right-arm off break,Midlands
ODI World Cup,2003,Zimbabwe,Douglas Hondo,7 July 1979,Right-handed,Right-arm fast medium,Mashonaland
ODI World Cup,2003,Zimbabwe,Grant Flower,20 December 1970,Right-handed,Slow left-arm orthodox,Mashonaland
ODI World Cup,2003,Zimbabwe,Guy Whittall,5 September 1972,Right-handed,Right-arm medium,Manicaland
ODI World Cup,2003,Zimbabwe,Heath Streak (c),16 March 1974,Right-handed,Right-arm fast medium,Matabeleland
ODI World Cup,2003,Zimbabwe,Henry Olonga,3 July 1976,Right-handed,Right-arm fast,Manicaland
ODI World Cup,2003,Zimbabwe,Mark Vermeulen,2 March 1979,Right-handed,Right-arm off break,Matabeleland
ODI World Cup,2003,Zimbabwe,Sean Ervine,6 December 1982,Left-handed,Right-arm medium,Midlands
ODI World Cup,2003,Zimbabwe,Stuart Matsikenyeri,3 May 1983,Right-handed,Right-arm off break,Manicaland
ODI World Cup,2003,Zimbabwe,Tatenda Taibu (wk),14 May 1983,Right-handed,Right-arm off break,Mashonaland
ODI World Cup,2003,Zimbabwe,Travis Friend,7 January 1981,Right-handed,Right-arm fast medium,Midlands
ODI World Cup,2007,Australia,Adam Gilchrist,14 November 1971,Left-handed,Wicket-keeper,Western Warriors
ODI World Cup,2007,Australia,Andrew Symonds,9 June 1975,Right-handed,Right-arm medium/off break,Queensland Bulls
ODI World Cup,2007,Australia,Brad Haddin,23 October 1977,Right-handed,Wicket-keeper,New South Wales Blues
ODI World Cup,2007,Australia,Brad Hodge,29 December 1974,Right-handed,Right-arm off break,Victorian Bushrangers
ODI World Cup,2007,Australia,Brad Hogg,6 February 1971,Left-handed,Slow left-arm wrist-spin,Western Warriors
ODI World Cup,2007,Australia,Glenn McGrath,9 February 1970,Right-handed,Right-arm fast medium,New South Wales Blues
ODI World Cup,2007,Australia,Matthew Hayden,29 October 1971,Left-handed,Right-arm medium,Queensland Bulls
ODI World Cup,2007,Australia,Michael Clarke,2 April 1981,Right-handed,Slow left-arm orthodox,New South Wales Blues
ODI World Cup,2007,Australia,Michael Hussey,27 May 1975,Left-handed,Right-arm medium,Western Warriors
ODI World Cup,2007,Australia,Mitchell Johnson,2 November 1981,Left-handed,Left-arm fast,Queensland Bulls
ODI World Cup,2007,Australia,Nathan Bracken,12 September 1977,Right-handed,Left-arm fast medium,New South Wales Blues
ODI World Cup,2007,Australia,Ricky Ponting (c),19 December 1974,Right-handed,Right-arm medium,Tasmanian Tigers
ODI World Cup,2007,Australia,Shane Watson,17 June 1981,Right-handed,Right-arm fast medium,Queensland Bulls
ODI World Cup,2007,Australia,Shaun Tait,22 February 1983,Right-handed,Right-arm fast,Southern Redbacks
ODI World Cup,2007,Australia,Stuart Clark,28 September 1975,Right-handed,Right-arm fast medium,New South Wales Blues
ODI World Cup,2007,Bangladesh,Abdur Razzak,15 June 1982,Right-handed,Slow left-arm orthodox,Khulna
ODI World Cup,2007,Bangladesh,Aftab Ahmed,10 November 1985,Right-handed,Right-arm medium,Chittagong
ODI World Cup,2007,Bangladesh,Farhad Reza,16 June 1986,Right-handed,Right-arm fast medium,Rajshahi
ODI World Cup,2007,Bangladesh,Habibul Bashar (c),17 August 1972,Right-handed,Right-arm off break,Khulna
ODI World Cup,2007,Bangladesh,Javed Omar,25 November 1976,Right-handed,Right-arm leg break,Dhaka
ODI World Cup,2007,Bangladesh,Mashrafe Mortaza,5 October 1983,Right-handed,Right-arm fast medium,Khulna
ODI World Cup,2007,Bangladesh,Mohammad Ashraful,9 September 1984,Right-handed,Right-arm leg break,Dhaka
ODI World Cup,2007,Bangladesh,Mohammad Rafique,5 September 1970,Left-handed,Slow left-arm orthodox,Dhaka
ODI World Cup,2007,Bangladesh,Mushfiqur Rahim,1 September 1988,Right-handed,Wicket-keeper,Rajshahi
ODI World Cup,2007,Bangladesh,Rajin Saleh,20 November 1983,Right-handed,Right-arm off break,Sylhet
ODI World Cup,2007,Bangladesh,Shahadat Hossain,7 August 1986,Right-handed,Right-arm fast medium,Dhaka
ODI World Cup,2007,Bangladesh,Shahriar Nafees,25 January 1986,Left-handed,,Barisal
ODI World Cup,2007,Bangladesh,Shakib Al Hasan,24 March 1987,Left-handed,Slow left-arm orthodox,Khulna
ODI World Cup,2007,Bangladesh,Syed Rasel,3 July 1984,Left-handed,Left-arm medium fast,Khulna
ODI World Cup,2007,Bangladesh,Tamim Iqbal,20 March 1989,Left-handed,,Chittagong
ODI World Cup,2007,Bangladesh,Tapash Baisya,25 December 1982,Right-handed,Right-arm fast medium,Sylhet
ODI World Cup,2007,Bermuda,Clay Smith,15 January 1971,Right-handed,Right-arm off break,Cleveland County
ODI World Cup,2007,Bermuda,David Hemp,8 November 1970,Left-handed,Right-arm medium,Glamorgan Dragons
ODI World Cup,2007,Bermuda,Dean Minors,6 January 1970,Left-handed,Wicket-keeper,Flatts Victoria
ODI World Cup,2007,Bermuda,Delyone Borden,4 March 1985,Right-handed,Right-arm off break,St. David's
ODI World Cup,2007,Bermuda,Dwayne Leverock,14 July 1971,Right-handed,Slow left-arm orthodox,Southampton Rangers
ODI World Cup,2007,Bermuda,Irving Romaine (c),8 August 1972,Right-handed,Right-arm off break,Baileys Bay
ODI World Cup,2007,Bermuda,Janeiro Tucker,15 March 1975,Right-handed,Right-arm medium,Southampton Rangers
ODI World Cup,2007,Bermuda,Kevin Hurdle,30 December 1976,Right-handed,Right-arm fast,Young Men's Social Club
ODI World Cup,2007,Bermuda,Kwame Tucker,28 September 1976,Right-handed,Wicket-keeper,Southampton Rangers
ODI World Cup,2007,Bermuda,Lionel Cann,3 October 1972,Right-handed,Right-arm medium,Southampton Rangers
ODI World Cup,2007,Bermuda,Malachi Jones,26 June 1989,Right-handed,Right-arm medium fast,Southampton Rangers
ODI World Cup,2007,Bermuda,Oliver Pitcher,27 May 1983,Right-handed,Right-arm medium,St. David's
ODI World Cup,2007,Bermuda,Saleem Mukuddem,20 January 1972,Right-handed,Right-arm medium,Western Stars
ODI World Cup,2007,Bermuda,Stefan Kelly,24 August 1988,Right-handed,Right-arm fast medium,St. David's
ODI World Cup,2007,Bermuda,Steven Outerbridge,20 May 1983,Right-handed,Right-arm off break,Baileys Bay
ODI World Cup,2007,Canada,Abdool Samad,3 May 1979,Right-handed,Right-arm off break,Cavaliers
ODI World Cup,2007,Canada,Anderson Cummins,7 May 1966,Right-handed,Right-arm fast medium,Cavaliers
ODI World Cup,2007,Canada,Ashish Bagai,26 January 1982,Right-handed,Wicket-keeper,Toronto
ODI World Cup,2007,Canada,Asif Mulla,5 May 1980,Right-handed,Wicket-keeper,Yorkshire
ODI World Cup,2007,Canada,Austin Codrington,22 August 1975,Right-handed,Right-arm fast medium,Victoria Park
ODI World Cup,2007,Canada,Desmond Chumney,8 January 1968,Right-handed,Right-arm off break,Victoria Park
ODI World Cup,2007,Canada,Geoff Barnett,3 February 1984,Left-handed,Right-arm medium,Central Districts Stags Meraloma
ODI World Cup,2007,Canada,George Codrington,26 November 1966,Right-handed,Right-arm fast medium,Victoria Park
ODI World Cup,2007,Canada,Henry Osinde,17 October 1978,Right-handed,Right-arm fast medium,WICC
ODI World Cup,2007,Canada,Ian Billcliff,26 October 1972,Right-handed,Right-arm medium,University/Ellerslie
ODI World Cup,2007,Canada,John Davison (c),9 May 1970,Right-handed,Right-arm off break,Mosman
ODI World Cup,2007,Canada,Kevin Sandher,16 July 1980,Right-handed,Slow left-arm orthodox,Meraloma
ODI World Cup,2007,Canada,Qaiser Ali,20 December 1978,Right-handed,Right-arm off break,Adastrians
ODI World Cup,2007,Canada,Sunil Dhaniram,17 October 1968,Left-handed,Slow left-arm orthodox,Cavaliers
ODI World Cup,2007,Canada,Umar Bhatti,4 January 1984,Left-handed,Left-arm medium,Victoria Park
ODI World Cup,2007,England,Andrew Flintoff,6 December 1977,Right-handed,Right-arm fast,Lancashire Lightning
ODI World Cup,2007,England,Andrew Strauss,2 March 1977,Left-handed,Left-arm medium,Middlesex Crusaders
ODI World Cup,2007,England,Ed Joyce,22 September 1978,Left-handed,Right-arm medium,Middlesex Crusaders
ODI World Cup,2007,England,Ian Bell,11 April 1982,Right-handed,Right-arm medium,Warwickshire Bears
ODI World Cup,2007,England,James Anderson,30 July 1982,Left-handed,Right-arm fast medium,Lancashire Lightning
ODI World Cup,2007,England,Jamie Dalrymple,21 January 1981,Right-handed,Right-arm off break,Middlesex Crusaders
ODI World Cup,2007,England,Jon Lewis,26 August 1975,Right-handed,Right-arm medium fast,Gloucestershire Gladiators
ODI World Cup,2007,England,Kevin Pietersen,27 June 1980,Right-handed,Right-arm off break,Hampshire Hawks
ODI World Cup,2007,England,Liam Plunkett,6 April 1985,Right-handed,Right-arm fast medium,Durham Dynamos
ODI World Cup,2007,England,Michael Vaughan (c),29 October 1974,Right-handed,Right-arm off break,Yorkshire Phoenix
ODI World Cup,2007,England,Monty Panesar,25 April 1982,Left-handed,Slow left-arm orthodox,Northamptonshire Steelbacks
ODI World Cup,2007,England,Paul Collingwood,26 May 1976,Right-handed,Right-arm medium fast,Durham Dynamos
ODI World Cup,2007,England,Paul Nixon,21 October 1970,Left-handed,Wicket-keeper,Leicestershire Foxes
ODI World Cup,2007,England,Ravi Bopara,4 May 1985,Right-handed,Right-arm medium,Essex Eagles
ODI World Cup,2007,England,Sajid Mahmood,21 December 1981,Right-handed,Right-arm fast medium,Lancashire Lightning
ODI World Cup,2007,England,Stuart Broad,24 June 1986,Left-handed,Right-arm fast medium,Leicestershire Foxes
ODI World Cup,2007,India,Ajit Agarkar,4 December 1977,Right-handed,Right-arm fast,Mumbai
ODI World Cup,2007,India,Anil Kumble,17 October 1970,Right-handed,Right-arm leg break,Karnataka
ODI World Cup,2007,India,Dinesh Karthik (wk),1 June 1985,Right-handed,Wicket-keeper,Tamil Nadu
ODI World Cup,2007,India,Harbhajan Singh,3 July 1980,Right-handed,Right-arm off break,Punjab
ODI World Cup,2007,India,Irfan Pathan,27 October 1984,Left-handed,Left-arm fast medium,Baroda
ODI World Cup,2007,India,M.S. Dhoni (wk),7 July 1981,Right-handed,Wicket-keeper,Jharkhand
ODI World Cup,2007,India,Munaf Patel,12 July 1983,Right-handed,Right-arm fast medium,Maharashtra
ODI World Cup,2007,India,Rahul Dravid (c),11 January 1973,Right-handed,Right-arm off break,Karnataka
ODI World Cup,2007,India,Robin Uthappa,11 November 1985,Right-handed,Right-arm medium,Karnataka
ODI World Cup,2007,India,S. Sreesanth,6 February 1983,Right-handed,Right-arm fast medium,Kerala
ODI World Cup,2007,India,Sachin Tendulkar,24 April 1973,Right-handed,Right-arm leg break,Mumbai
ODI World Cup,2007,India,Sourav Ganguly,8 July 1972,Left-handed,Right-arm medium,Bengal
ODI World Cup,2007,India,Virender Sehwag,20 October 1978,Right-handed,Right-arm off break,Delhi
ODI World Cup,2007,India,Yuvraj Singh (vc),12 December 1981,Left-handed,Slow left-arm orthodox,Punjab
ODI World Cup,2007,India,Zaheer Khan,7 October 1978,Right-handed,Left-arm fast medium,Mumbai
ODI World Cup,2007,Ireland,Andre Botha,12 September 1975,Left-handed,Right-arm medium,North County
ODI World Cup,2007,Ireland,Andrew White,3 July 1980,Right-handed,Right-arm off break,Northamptonshire Steelbacks
ODI World Cup,2007,Ireland,Boyd Rankin,5 July 1984,Right-handed,Right-arm fast medium,Derbyshire Phantoms
ODI World Cup,2007,Ireland,Dave Langford-Smith,7 December 1976,Right-handed,Right-arm fast medium,Phoenix
ODI World Cup,2007,Ireland,Eoin Morgan,10 September 1986,Left-handed,Right-arm fast medium,Middlesex Crusaders
ODI World Cup,2007,Ireland,Jeremy Bray,30 November 1973,Left-handed,,Eglinton
ODI World Cup,2007,Ireland,John Mooney,10 February 1982,Left-handed,Right-arm medium,North County
ODI World Cup,2007,Ireland,Kenny Carroll,22 March 1983,Right-handed,Right-arm legbreak,Railway Union
ODI World Cup,2007,Ireland,Kevin O'Brien,4 March 1984,Right-handed,Right-arm medium fast,Railway Union
ODI World Cup,2007,Ireland,Kyle McCallan,27 August 1975,Right-handed,Right-arm off break,Waringstown
ODI World Cup,2007,Ireland,Niall O'Brien,8 November 1981,Right-handed,Wicket-keeper,Northamptonshire Steelbacks
ODI World Cup,2007,Ireland,Paul Mooney,15 October 1976,Right-handed,Right-arm medium,North County
ODI World Cup,2007,Ireland,Peter Gillespie,11 May 1974,Right-handed,Right-arm medium,Strabane
ODI World Cup,2007,Ireland,Trent Johnston (c),29 April 1974,Right-handed,Right-arm fast medium,Clontarf
ODI World Cup,2007,Ireland,William Porterfield,6 September 1984,Left-handed,,"Rush, County Dublin"
ODI World Cup,2007,Kenya,Collins Obuya,27 July 1981,Right-handed,Right-arm leg break,Stray Lions
ODI World Cup,2007,Kenya,David Obuya,14 August 1979,Right-handed,Wicket-keeper,Stray Lions
ODI World Cup,2007,Kenya,Hiren Varaiya,9 April 1984,Right-handed,Slow left-arm orthodox,Nairobi Gymkhana
ODI World Cup,2007,Kenya,Jimmy Kamande,12 December 1978,Right-handed,Right-arm off break,Parklands
ODI World Cup,2007,Kenya,Lameck Onyango,22 September 1973,Right-handed,Right-arm medium,Swamibapa
ODI World Cup,2007,Kenya,Malhar Patel,27 November 1983,Right-handed,Right-arm medium,Kanbis
ODI World Cup,2007,Kenya,Morris Ouma,8 November 1982,Right-handed,Wicket-keeper,Swamibapa
ODI World Cup,2007,Kenya,Nehemiah Odhiambo,7 August 1983,Right-handed,Right-arm medium fast,Swamibapa
ODI World Cup,2007,Kenya,Peter Ongondo,10 February 1977,Right-handed,Right-arm medium,Swamibapa
ODI World Cup,2007,Kenya,Rajesh Bhudia,22 November 1984,Right-handed,Right-arm medium,Kanbis
ODI World Cup,2007,Kenya,Ravindu Shah,28 August 1972,Right-handed,Right-arm medium,Nairobi Gymkhana
ODI World Cup,2007,Kenya,Steve Tikolo (c),25 June 1971,Right-handed,Right-arm medium,Swamibapa
ODI World Cup,2007,Kenya,Tanmay Mishra,22 December 1986,Right-handed,Right-arm fast medium,Aga Khan
ODI World Cup,2007,Kenya,Thomas Odoyo,12 May 1978,Right-handed,Right-arm medium fast,Kanbis
ODI World Cup,2007,Kenya,Tony Suji,5 February 1976,Right-handed,Right-arm medium,Swamibapa
ODI World Cup,2007,Netherlands,Adeel Raja,15 August 1980,Right-handed,Right-arm off break,VRA Amsterdam
ODI World Cup,2007,Netherlands,Alexei Kervezee,11 September 1989,Right-handed,Right-arm medium,Worcestershire Royals
ODI World Cup,2007,Netherlands,Bastiaan Zuiderent,3 March 1977,Right-handed,Right-arm medium,VOC Rotterdam
ODI World Cup,2007,Netherlands,Billy Stelling,30 June 1969,Right-handed,Right-arm fast medium,HBS Craeyenhout
ODI World Cup,2007,Netherlands,Daan van Bunge,19 October 1982,Right-handed,Right-arm leg break,Excelsior'20
ODI World Cup,2007,Netherlands,Darron Reekers,26 May 1973,Right-handed,Right-arm medium,Quick Den Haag
ODI World Cup,2007,Netherlands,Edgar Schiferli,17 May 1976,Right-handed,Right-arm medium fast,Quick Den Haag
ODI World Cup,2007,Netherlands,Eric Szwarczynski,13 February 1983,Right-handed,Right-arm medium,VRA Amsterdam
ODI World Cup,2007,Netherlands,Jeroen Smits,21 June 1972,Right-handed,Wicket-keeper,HCC Den Haag
ODI World Cup,2007,Netherlands,Luuk van Troost (c),28 December 1969,Left-handed,Left-arm medium,Excelsior'20
ODI World Cup,2007,Netherlands,Mark Jonkman,20 March 1986,Right-handed,Right-arm medium fast,HCC Den Haag
ODI World Cup,2007,Netherlands,Mohammad Kashif,3 December 1984,Right-handed,Slow left-arm orthodox,VOC Rotterdam
ODI World Cup,2007,Netherlands,Peter Borren,21 August 1983,Right-handed,Right-arm medium,VRA Amsterdam
ODI World Cup,2007,Netherlands,Ryan ten Doeschate,30 June 1980,Right-handed,Right-arm medium fast,Essex Eagles
ODI World Cup,2007,Netherlands,Tim de Leede,25 January 1968,Right-handed,Right-arm medium,Voorburg CC
ODI World Cup,2007,New Zealand,Brendon McCullum,27 September 1981,Right-handed,Wicket-keeper,Canterbury Wizards
ODI World Cup,2007,New Zealand,Chris Martin,10 December 1979,Right-handed,Right-arm fast medium,Auckland Aces
ODI World Cup,2007,New Zealand,Craig McMillan,13 September 1976,Right-handed,Right-arm medium,Canterbury Wizards
ODI World Cup,2007,New Zealand,Daniel Vettori,27 January 1979,Left-handed,Slow left-arm orthodox,Northern Districts Knights
ODI World Cup,2007,New Zealand,Daryl Tuffey,11 June 1978,Right-handed,Right-arm fast medium,Northern Districts Knights
ODI World Cup,2007,New Zealand,Hamish Marshall,15 February 1979,Right-handed,Right-arm medium,Northern Districts Knights
ODI World Cup,2007,New Zealand,Jacob Oram,28 July 1978,Left-handed,Right-arm medium,Central Districts Stags
ODI World Cup,2007,New Zealand,James Franklin,7 November 1980,Left-handed,Left-arm fast medium,Wellington Firebirds
ODI World Cup,2007,New Zealand,Jeetan Patel,7 May 1980,Right-handed,Right-arm off break,Wellington Firebirds
ODI World Cup,2007,New Zealand,Lou Vincent,11 November 1978,Right-handed,Right-arm medium,Auckland Aces
ODI World Cup,2007,New Zealand,Mark Gillespie,17 October 1979,Right-handed,Right-arm fast medium,Wellington Firebirds
ODI World Cup,2007,New Zealand,Michael Mason,27 August 1974,Right-handed,Right-arm fast medium,Central Districts Stags
ODI World Cup,2007,New Zealand,Peter Fulton,1 February 1979,Right-handed,Right-arm medium,Canterbury Wizards
ODI World Cup,2007,New Zealand,Ross Taylor,8 March 1984,Right-handed,Right-arm off break,Central Districts Stags
ODI World Cup,2007,New Zealand,Scott Styris,10 July 1975,Right-handed,Right-arm fast medium,Auckland Aces
ODI World Cup,2007,New Zealand,Shane Bond,7 June 1975,Right-handed,Right-arm fast,Canterbury Wizards
ODI World Cup,2007,New Zealand,Stephen Fleming (c),1 April 1973,Left-handed,Right-arm medium,Wellington Firebirds
ODI World Cup,2007,Pakistan,Azhar Mahmood,28 February 1975,Right-handed,Right-arm fast medium,HBL/Islamabad Surrey Lions
ODI World Cup,2007,Pakistan,Danish Kaneria,16 December 1980,Right-handed,Right-arm leg break,HBL/Karachi Harbour
ODI World Cup,2007,Pakistan,Iftikhar Anjum,1 December 1980,Right-handed,Right-arm medium,ZTBL/Islamabad
ODI World Cup,2007,Pakistan,Imran Nazir,31 December 1981,Right-handed,Right-arm leg break,NBP/Sialkot
ODI World Cup,2007,Pakistan,Inzamam-ul-Haq (c),3 March 1970,Right-handed,Slow left-arm orthodox,WAPDA/Multan
ODI World Cup,2007,Pakistan,Kamran Akmal,13 January 1982,Right-handed,Wicket-keeper,NBP/Lahore Ravi
ODI World Cup,2007,Pakistan,Mohammad Hafeez,17 October 1980,Right-handed,Right-arm off break,SNGPL/Faisalabad
ODI World Cup,2007,Pakistan,Mohammad Sami,24 February 1981,Right-handed,Right-arm fast,NBP/Karachi
ODI World Cup,2007,Pakistan,Mohammad Yousuf,27 August 1974,Right-handed,Right-arm slow,WAPDA/Lahore Ravi
ODI World Cup,2007,Pakistan,Rana Naved-ul-Hasan,28 February 1978,Right-handed,Right-arm medium fast,WAPDA/Sialkot Sussex Sharks
ODI World Cup,2007,Pakistan,Shahid Afridi (vc),1 March 1980,Right-handed,Right-arm leg break,HBL/Karachi Harbour
ODI World Cup,2007,Pakistan,Shoaib Malik,1 February 1982,Right-handed,Right-arm off break,PIA/Sialkot
ODI World Cup,2007,Pakistan,Umar Gul,14 April 1984,Right-handed,Right-arm fast medium,HBL/Peshawar
ODI World Cup,2007,Pakistan,Yasir Arafat,12 March 1982,Right-handed,Right-arm medium,KRL/Rawalpindi Sussex Sharks
ODI World Cup,2007,Pakistan,Younis Khan,29 November 1977,Right-handed,Right-arm leg break,HBL/Peshawar
ODI World Cup,2007,Scotland,Colin Smith,27 September 1972,Right-handed,Wicket-keeper,Aberdeenshire
ODI World Cup,2007,Scotland,Craig Wright (c),28 April 1974,Right-handed,Right-arm medium,Greenock
ODI World Cup,2007,Scotland,Dewald Nel,6 June 1980,Right-handed,Right-arm medium fast,Greenock
ODI World Cup,2007,Scotland,Dougie Brown,29 October 1969,Right-handed,Right-arm fast medium,Warwickshire Bears
ODI World Cup,2007,Scotland,Dougie Lockhart,19 January 1976,Right-handed,Right-arm medium,West of Scotland
ODI World Cup,2007,Scotland,Fraser Watts,5 June 1979,Right-handed,,Greenock
ODI World Cup,2007,Scotland,Gavin Hamilton,16 September 1974,Left-handed,Right-arm medium fast,Scottish Saltires
ODI World Cup,2007,Scotland,Glenn Rogers,12 April 1977,Right-handed,Slow left-arm orthodox,Stenhousemuir
ODI World Cup,2007,Scotland,John Blain,4 January 1979,Left-handed,Right-arm fast medium,Yorkshire Phoenix
ODI World Cup,2007,Scotland,Majid Haq,11 February 1983,Left-handed,Right-arm off break,Ferguslie
ODI World Cup,2007,Scotland,Navdeep Poonia,11 May 1986,Right-handed,Right-arm medium fast,Warwickshire Bears
ODI World Cup,2007,Scotland,Neil McCallum,22 November 1977,Right-handed,,Grange
ODI World Cup,2007,Scotland,Paul Hoffmann,14 January 1970,Right-handed,Right-arm medium fast,Uddingston
ODI World Cup,2007,Scotland,Ross Lyons,8 December 1984,Left-handed,Slow left-arm orthodox,Clydesdale
ODI World Cup,2007,Scotland,Ryan Watson,12 November 1976,Right-handed,Right-arm medium fast,Forfarshire
ODI World Cup,2007,South Africa,AB de Villiers,17 February 1984,Right-handed,Right-arm medium Wicket-keeper,Titans
ODI World Cup,2007,South Africa,Andrew Hall,31 July 1975,Right-handed,Right-arm fast medium,Dolphins Kent Spitfires
ODI World Cup,2007,South Africa,André Nel,15 July 1977,Right-handed,Right-arm fast medium,Titans
ODI World Cup,2007,South Africa,Ashwell Prince,28 May 1977,Left-handed,Left-arm slow,Cape Cobras
ODI World Cup,2007,South Africa,Charl Langeveldt,17 December 1974,Right-handed,Right-arm fast medium,Lions
ODI World Cup,2007,South Africa,Graeme Smith (c),1 February 1981,Left-handed,Right-arm off break,Cape Cobras
ODI World Cup,2007,South Africa,Herschelle Gibbs,23 February 1974,Right-handed,Right-arm medium,Cape Cobras
ODI World Cup,2007,South Africa,Jacques Kallis,16 October 1975,Right-handed,Right-arm fast medium,Cape Cobras
ODI World Cup,2007,South Africa,Justin Kemp,2 October 1977,Right-handed,Right-arm fast medium,Titans Kent Spitfires
ODI World Cup,2007,South Africa,Loots Bosman,14 April 1977,Right-handed,Right-arm medium,Eagles
ODI World Cup,2007,South Africa,Makhaya Ntini,6 July 1977,Right-handed,Right-arm fast,Warriors
ODI World Cup,2007,South Africa,Mark Boucher,3 December 1976,Right-handed,Wicket-keeper,Warriors
ODI World Cup,2007,South Africa,Robin Peterson,4 August 1979,Left-handed,Slow left-arm orthodox,Warriors
ODI World Cup,2007,South Africa,Roger Telemachus,27 March 1973,Right-handed,Right-arm fast medium,Eagles
ODI World Cup,2007,South Africa,Shaun Pollock,16 July 1973,Right-handed,Right-arm fast medium,Dolphins
ODI World Cup,2007,Sri Lanka,Chamara Silva,14 December 1979,Right-handed,Right-arm leg break,Sebastianites C&AC
